web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1578845526-1142,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,s.maka,The price for a reliable product,"Reviewed in the United States on July 28, 2019",This is an awesome phone glad I ordered it my last Huawei phone still working had it for 5 years. Can't live without it good price for a this phone,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845542-1207,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,PD,I ?? it,"Reviewed in the United States on December 3, 2019",Very good,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
1578845521-1130,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Romoalej,P30 LITE,"Reviewed in the United States on October 26, 2019",Excelente Cámara y buena duración de al batería dependiendo del uso hasta 72 hs y un poco más,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1578845516-1103,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SL,best phone in the market,"Reviewed in the United States on September 2, 2019","Even though this model has 4G ram only, the performance is supra.  The face recognition and finger print lock is 2 generations ahead of Samsung, and the over all experience is much better than iPhone.  And it is very cool to have a phone that's almost banned.  It will become a must-have for the underground community.",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845535-1188,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Carrie Amaral,Worth buying it.,"Reviewed in the United States on December 6, 2019",Espectacular phone! Speaker volume could be a little louder but I would definitely buy it again.,4,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1578845550-1231,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Todo incluído,"Reviewed in the United States on December 9, 2019",Excelente,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
1578845526-1148,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Okeli,No llego el color de teléfono comprado,"Reviewed in the United States on August 25, 2019","Estoy insatisfecho, solicité este teléfono p30 lite, en color azul, y me llego en color negro, eso no debe pasar, porfavor que se puede hacer?",4,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845514-1091,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Neil Gardner,My wife seems to love the phone,"Reviewed in the United States on May 27, 2019",She particularly loves how well the selfie camera seems to make her look. Smh things that women find important.,5,,
1578845519-1112,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amaz-cust,No 5Ghz wifi support,"Reviewed in the United States on January 8, 2020","I bought this phone and discovered that this particular variant sold does
not have 5 Ghz wifi support. I decided to return it. This is a great phone
but the lack of 5Ghz wifi is a deal breaker. You are warned. Note that I
did talk to a Amazon customer service person and she confirmed that after
checking with Huawei. BTW, the official LX3A model specs appeared to list 5Ghz
wifi support, but it appeared that variants of this model sold for certain countries
like Brazil and Canada do not have 5Ghz capability.",1,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
1578845535-1189,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,De los mejores gama media,"Reviewed in the United States on August 17, 2019",Me gusta su diseño y conectividad,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1578845528-1158,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,whiston506,Nice phone with lots of functions,"Reviewed in the United States on October 14, 2019",Have used the phone for a few weeks.  Overall very good and met the expectations.  Decent battery life and screen.,3,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews
1578845550-1236,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,mike teng,best phone,"Reviewed in the United States on November 2, 2019",Best performance at the best price.,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
1578845531-1163,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gaige Guillory,Stuck on a boot loop after 4 months of use,"Reviewed in the United States on December 12, 2019",This would be a great phone for that price with truly amazing feature...…...if only it worked for more than a few months. The screen suddenly froze and the phone is now stuck on a bootloop for no reason. Had two Huawei before and this never happened.,1,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845514-1098,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,P. Daniel,Love My New P30 Lite,"Reviewed in the United States on June 16, 2019",Great batt life and fullest clearest screen I have ever had. Response time is very good with a excellent amount of memory 128 GB holds all my music and photos. Great phone at a great price. Much better than the NOVA 3i that I returned.,5,,
1578845516-1107,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ashraf W.,"Buy it, don't read the reviews. Just buy it. It works on AT&T. Go for it. It's really worth it.","Reviewed in the United States on September 17, 2019",Buy it,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845547-1223,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,David Aguilar Contreras,Exelente producto,"Reviewed in the United States on November 25, 2019",El producto es bueno completamente nuevo cumple las espec_ tativas en todo,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1578845540-1193,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mel84,No european charger,"Reviewed in the United States on December 20, 2019",Loved It the only thing is rhat I though It would come With an europea charger. Should've asked.,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
1578845523-1136,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Alastar S.,DO NOT BUY IF YOU NEED A GOOD CAMERA,"Reviewed in the United States on November 5, 2019","This phone feels good in the hand and looks nice with its display but do not be fooled by the triple camera set up, very poor quality in all settings. The glass back gives a nice flagship phone feel but stear clear of this model because it's absolutely worthless with the camera. Very disappointing especially coming from Huawei",2,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews
1578845547-1226,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rafael,Huawei P 30 lite,"Reviewed in the United States on November 11, 2019",Llego en perfectas condiciones,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews
1578845526-1146,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pamela Cáceres,Bueno,"Reviewed in the United States on October 24, 2019","Buen equipo, fácil de usar y programar",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews
1578845516-1104,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DavidM,Best deal for the good quality smart phone,"Reviewed in the United States on August 16, 2019","I had old Nexus P6 for 3 years the performance is slow and the battery sucks. So i was very hesitate to buy another Huawei phone. But for $320 for this unlocked P30 lite, nobody can beat this price. I used the phone for 3 weeks now and it is AWESOME. The pearl blue is shining and outstanding. Migrating the data from my old phone to new phone is fairly easy. The battery life is just unbelievable. I using all day and it only consumed 30%. Tons tons of other features to be explored. But I like this phone!",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1578845521-1125,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,marsha,Great phone for the price,"Reviewed in the United States on December 7, 2019",I have the phone for over a month now and I have no complaints. The picture quality is good for the price. I charge once per day (watch a lot of YouTube in between charge). The finger print reader only allow 1 finger. It would have been nice if I could have the option to code another finger but I guess the face recognition makes up for that,4,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
